,code,region
169,11.01.10.2003,Silolo
170,11.01.10.2004,Kampung Baru
171,11.01.10.2005,Panton Bili
172,11.01.10.2006,Paya Ateuk
173,11.01.10.2007,Ladang Tuha
174,11.01.10.2008,Mata Ie
175,11.01.10.2009,Ujong Batee
176,11.01.10.2010,Lhok Sialang Cut
177,11.01.10.2011,Seuneubok
178,11.01.10.2012,Ie Mirah
179,11.01.10.2013,Pasie Rasian
180,11.01.10.2014,Ujung Padang Rasian
181,11.01.10.2015,Krueng Kalee
182,11.01.10.2016,Lhok Sialang Rayeuk
183,11.01.10.2017,Gampong Baro
184,11.01.10.2018,Teupin Gajah
185,11.01.10.2019,Ujung Padang Asahan
186,11.01.10.2020,Pulo Ie II
187,11.01.10.2021,Pante Raja
188,11.01.11,Labuhan Haji Timur
189,11.01.11.2001,Tengah Peulumat
190,11.01.11.2002,Paya Peulumat
191,11.01.11.2003,Padang Peulumat
192,11.01.11.2004,Aur Peulumat
193,11.01.11.2005,Limau Saring
194,11.01.11.2006,Beutong
195,11.01.11.2007,Peuneulop
196,11.01.11.2008,Gunung Rotan
197,11.01.11.2009,Keumumu Hilir
198,11.01.11.2010,Keumumu Hulu
199,11.01.11.2011,Keumumu Seberang
200,11.01.11.2012,Sawang Indah
201,11.01.12,Labuhan Haji Barat
202,11.01.12.2001,Tutong
203,11.01.12.2002,Teungoh Iboh
204,11.01.12.2003,Peulokan
205,11.01.12.2004,Kuta Iboh
206,11.01.12.2005,Ujung Padang
207,11.01.12.2006,Blang Baru
208,11.01.12.2007,Blang Poroh
209,11.01.12.2008,Pulo Ie
210,11.01.12.2009,Suak Lokan
211,11.01.12.2010,Iku Lhueng
212,11.01.12.2011,Kuta Trieng
213,11.01.12.2012,Pante Geulima
214,11.01.12.2013,Panton Pawoh
215,11.01.12.2014,Batee Meucanang
216,11.01.12.2015,Panton Rubek
217,11.01.13,Kluet Tengah
218,11.01.13.2001,Koto
219,11.01.13.2002,Alur Keujrun
220,11.01.13.2003,Jambo Papan
221,11.01.13.2004,Malaka
222,11.01.13.2005,Koto Indarung
223,11.01.13.2006,Siurai-Urai
224,11.01.13.2007,Kampung Sawah
225,11.01.13.2008,Kampung Padang
