,code,region
12935,12.71.13.1003,Besar
12936,12.71.13.1004,Martubung
12937,12.71.13.1005,Nelayan Indah
12938,12.71.13.1006,Tangkahan
12939,12.71.14,Medan Tembung
12940,12.71.14.1001,Indra Kasih
12941,12.71.14.1002,Sidorejo Hilir
12942,12.71.14.1003,Sidorejo
12943,12.71.14.1004,Bantan
12944,12.71.14.1005,Tembung
12945,12.71.14.1006,Bandar Selamat
12946,12.71.14.1007,Bantan Timur
12947,12.71.15,Medan Maimun
12948,12.71.15.1001,Aur
12949,12.71.15.1002,Hamdan
12950,12.71.15.1003,Jati
12951,12.71.15.1004,Sukaraja
12952,12.71.15.1005,Sei Mati
12953,12.71.15.1006,Kampung Baru
12954,12.71.16,Medan Polonia
12955,12.71.16.1001,Madras Hulu
12956,12.71.16.1002,Polonia
12957,12.71.16.1003,Sari Rejo
12958,12.71.16.1004,Suka Damai
12959,12.71.16.1005,Anggrung
12960,12.71.17,Medan Baru
12961,12.71.17.1001,Petisah Hulu
12962,12.71.17.1002,Babura
12963,12.71.17.1003,Merdeka
12964,12.71.17.1004,Darat
12965,12.71.17.1005,Padang Bulan
12966,12.71.17.1006,Titi Rante
12967,12.71.18,Medan Perjuangan
12968,12.71.18.1001,Pandau Hilir
12969,12.71.18.1002,Pahlawan
12970,12.71.18.1003,Sei Kera Hilir I
12971,12.71.18.1004,Sei Kera Hilir II
12972,12.71.18.1005,Sei Kera Hulu
12973,12.71.18.1006,Sidorame Timur
12974,12.71.18.1007,Sidorame Barat I
12975,12.71.18.1008,Sidorame Barat II
12976,12.71.18.1009,Tegalrejo
12977,12.71.19,Medan Petisah
12978,12.71.19.1001,Petisah Tengah
12979,12.71.19.1002,Sekip
12980,12.71.19.1003,Sei Sikambing D
12981,12.71.19.1004,Sei Putih Barat
12982,12.71.19.1005,Sei Putih Tengah
12983,12.71.19.1006,Sei Putih Timur I
12984,12.71.19.1007,Sei Putih Timur II
12985,12.71.20,Medan Timur
12986,12.71.20.1001,Gang Buntu
12987,12.71.20.1002,Sidodadi
12988,12.71.20.1003,Durian
12989,12.71.20.1004,Glugur Darat I
12990,12.71.20.1005,Glugur Darat II
12991,12.71.20.1006,P Berayan Darat I
12992,12.71.20.1007,P Berayan Darat II
12993,12.71.20.1008,P Berayan Bengkel
12994,12.71.20.1009,PB Bengkel Baru
12995,12.71.20.1010,Perintis
12996,12.71.20.1011,Gaharu
12997,12.71.21,Medan Selayang
12998,12.71.21.1001,Asam Kumbang
12999,12.71.21.1002,Tanjungsari
13000,12.71.21.1003,P Bulan Selayang II
13001,12.71.21.1004,Beringin
13002,12.71.21.1005,P Bulan Selayang I
13003,12.71.21.1006,Sempakata
13004,12.72,KOTA PEMATANGSIANTAR
13005,12.72.01,Siantar Timur
13006,12.72.01.1001,Kebun Sayur
13007,12.72.01.1002,Tomuan
13008,12.72.01.1003,Pahlawan
13009,12.72.01.1004,Asuhan
13010,12.72.01.1005,Merdeka
13011,12.72.01.1006,Pardomuan
13012,12.72.01.1007,Siopat Suhu
13013,12.72.02,Siantar Barat
13014,12.72.02.1001,Dwikora
13015,12.72.02.1002,Proklamasi
13016,12.72.02.1003,Bantan
13017,12.72.02.1004,Timbang Galung
13018,12.72.02.1005,Simarito
13019,12.72.02.1006,Sipinggolpinggol
13020,12.72.02.1007,Banjar
13021,12.72.02.1008,Teladan
13022,12.72.03,Siantar Utara
13023,12.72.03.1001,Melayu
13024,12.72.03.1002,Martoba
13025,12.72.03.1003,Baru
13026,12.72.03.1004,Sukadame
13027,12.72.03.1005,Kahean
13028,12.72.03.1006,Sigulanggulang
13029,12.72.03.1007,Bane
13030,12.72.04,Siantar Selatan
13031,12.72.04.1001,Toba
13032,12.72.04.1002,Karo
13033,12.72.04.1003,Simalungun
13034,12.72.04.1004,Martimbang
13035,12.72.04.1005,Kristen
13036,12.72.04.1006,Aek Nauli
13037,12.72.05,Siantar Marihat
13038,12.72.05.1002,Sukaraja
13039,12.72.05.1005,Baringin Pancur Nauli
13040,12.72.05.1006,Pardamean
13041,12.72.05.1007,Sukamaju
13042,12.72.05.1008,Parhorasan Nauli
13043,12.72.05.1009,Sukamakmur
13044,12.72.05.1010,Mekar Nauli
13045,12.72.06,Siantar Martoba
13046,12.72.06.1001,Sumber Jaya
13047,12.72.06.1003,Tambun Nabolon
13048,12.72.06.1007,Naga Pita
13049,12.72.06.1008,Pondok Sayur
13050,12.72.06.1009,Tanjung Tongah
13051,12.72.06.1010,Naga Pitu
13052,12.72.06.1011,Tanjung Pinggir
13053,12.72.07,Siantar Sitalasari
13054,12.72.07.1001,Gurilla
13055,12.72.07.1002,Bah Kapul
13056,12.72.07.1003,Setia Negara
13057,12.72.07.1004,Bukit Sofa
13058,12.72.07.1005,Bah Sorma
13059,12.72.08,Siantar Marimbun
13060,12.72.08.1001,Simarimbun
13061,12.72.08.1002,Tong Marimbun
13062,12.72.08.1003,Naga Huta
13063,12.72.08.1004,Naga Huta Timur
13064,12.72.08.1005,Pematang Marihat
13065,12.72.08.1006,Marihat Jaya
13066,12.73,KOTA SIBOLGA
13067,12.73.01,Sibolga Utara
13068,12.73.01.1001,Huta Barangan
13069,12.73.01.1002,Angin Nauli
13070,12.73.01.1003,Huta Tonga-tonga
13071,12.73.01.1004,Sibolga Ilir
13072,12.73.01.1005,Simare-Mare
13073,12.73.02,Sibolga Kota
13074,12.73.02.1001,Kota Baringin
13075,12.73.02.1002,Pasar Baru
13076,12.73.02.1003,Pasar Belakang
13077,12.73.02.1004,Pancuran Gerobak
13078,12.73.03,Sibolga Selatan
13079,12.73.03.1001,Aek Habil
13080,12.73.03.1002,Aek Manis
13081,12.73.03.1003,Aek Muara Pinang
13082,12.73.03.1004,Aek Parombunan
13083,12.73.04,Sibolga Sambas
13084,12.73.04.1001,Pancuran Kerambil
13085,12.73.04.1002,Pancuran Dewa
13086,12.73.04.1003,Pancuran Pinang
13087,12.73.04.1004,Pancuran Bambu
13088,12.74,KOTA TANJUNG BALAI
13089,12.74.01,Tanjung Balai Selatan
13090,12.74.01.1001,Tanjung Balai Kota I
13091,12.74.01.1002,Tanjung Balai Kota II
13092,12.74.01.1003,Perwira
13093,12.74.01.1004,Karya
13094,12.74.01.1005,Pantai Burung
13095,12.74.01.1006,Indra Sakti
13096,12.74.02,Tanjung Balai Utara
13097,12.74.02.1001,Tanjung Balai Kota III
13098,12.74.02.1002,Tanjung Balai Kota IV
13099,12.74.02.1003,Sejahtera
13100,12.74.02.1004,Kuala Silo Bestari
13101,12.74.02.1005,Matahalasan
13102,12.74.03,Sei Tualang Raso
13103,12.74.03.1001,Keramat Kubah
13104,12.74.03.1002,Sumber Sari
13105,12.74.03.1003,Muara Sentosa
13106,12.74.03.1004,Pasar Baru
13107,12.74.03.1005,Sei Raja
13108,12.74.04,Teluk Nibung
13109,12.74.04.1001,Sei Merbau
13110,12.74.04.1002,Pematang Pasir
13111,12.74.04.1003,Perjuangan
13112,12.74.04.1004,Kapias Pulau Buaya
13113,12.74.04.1005,Beting Kuala Kapias
13114,12.74.05,Datuk Bandar
13115,12.74.05.1003,Gading
13116,12.74.05.1004,Sirantau
13117,12.74.05.1005,Sijambi
13118,12.74.05.1006,Pahang
13119,12.74.05.1010,Pantai Johor
13120,12.74.06,Datuk Bandar Timur
13121,12.74.06.1001,Pulau Simardan
13122,12.74.06.1002,Semula Jadi
13123,12.74.06.1003,Selat Lancang
13124,12.74.06.1004,Bunga Tanjung
13125,12.74.06.1005,Selat Tanjung Medan
13126,12.75,KOTA BINJAI
13127,12.75.01,Binjai Utara
13128,12.75.01.1001,Pahlawan
13129,12.75.01.1002,Jati Negara
13130,12.75.01.1003,Nangka
13131,12.75.01.1004,Damai
13132,12.75.01.1005,Kebun Lada
13133,12.75.01.1006,Cengkeh Turi
13134,12.75.01.1007,Jati Utomo
13135,12.75.01.1008,Jati Makmur
13136,12.75.01.1009,Jati Karya
13137,12.75.02,Binjai Kota
13138,12.75.02.1001,Berngam
13139,12.75.02.1002,Satria
13140,12.75.02.1003,Setia
13141,12.75.02.1004,Kartini
13142,12.75.02.1005,Tangsi
13143,12.75.02.1006,Binjai
13144,12.75.02.1007,Pekan Binjai
13145,12.75.03,Binjai Barat
13146,12.75.03.1001,Bandar Senembah
13147,12.75.03.1002,Limau Mungkur
13148,12.75.03.1003,Limau Sundai
13149,12.75.03.1004,Paya Roba
13150,12.75.03.1005,Suka Maju
13151,12.75.03.1006,Sukaramai
13152,12.75.04,Binjai Timur
13153,12.75.04.1001,Tanah Tinggi
13154,12.75.04.1002,Dataran Tinggi
13155,12.75.04.1003,Timbang Langkat
13156,12.75.04.1004,Mencirim
13157,12.75.04.1005,Tunggurono
13158,12.75.04.1006,Sumber Mulyorejo
13159,12.75.04.1007,Sumber Karya
13160,12.75.05,Binjai Selatan
13161,12.75.05.1001,Tanah Merah
13162,12.75.05.1002,Binjai Estate
13163,12.75.05.1003,Bhakti Karya
13164,12.75.05.1004,Rambung Dalam
13165,12.75.05.1005,Pujidadi
13166,12.75.05.1006,Tanah Seribu
13167,12.75.05.1007,Rambung Barat
13168,12.75.05.1008,Rambung Timur
13169,12.76,KOTA TEBING TINGGI
13170,12.76.01,Padang Hulu
13171,12.76.01.1001,Pabatu
13172,12.76.01.1002,Lubuk Baru
13173,12.76.01.1006,Persiakan
13174,12.76.01.1007,Bandar Sono
13175,12.76.01.1010,Tualang
13176,12.76.01.1011,Padang Merbau
13177,12.76.01.1012,Lubuk Raya
13178,12.76.02,Rambutan
13179,12.76.02.1004,Rantau Laban
13180,12.76.02.1007,Karya Jaya
13181,12.76.02.1009,Lalang
13182,12.76.02.1010,Tanjung Marulak
13183,12.76.02.1011,Sri Padang
13184,12.76.02.1012,Tanjung Marulak Hilir
13185,12.76.02.1013,Mekar Sentosa
13186,12.76.03,Padang Hilir
13187,12.76.03.1001,Bagelen
13188,12.76.03.1002,Tambangan
13189,12.76.03.1004,Tebing Tinggi
13190,12.76.03.1006,Satria
13191,12.76.03.1007,Damar Sari
13192,12.76.03.1008,Tambangan Hulu
13193,12.76.03.1009,Deblod Sundoro
13194,12.76.04,Bajenis
13195,12.76.04.1001,Durian
13196,12.76.04.1002,Pelita
13197,12.76.04.1003,Bulian
13198,12.76.04.1004,Berohol
13199,12.76.04.1005,Bandar Sakti
13200,12.76.04.1006,Pinang Mancung
13201,12.76.04.1007,Teluk Karang
13202,12.76.05,Tebing Tinggi Kota
13203,12.76.05.1001,Mandailing
13204,12.76.05.1002,Pasar Baru
13205,12.76.05.1003,Pasar Gambir
13206,12.76.05.1004,Badak Bejuang
13207,12.76.05.1005,Bandar Utama
13208,12.76.05.1006,Rambung
13209,12.76.05.1007,Tebing Tinggi Lama
13210,12.77,KOTA PADANG SIDEMPUAN
13211,12.77.01,Padangsidimpuan Utara
13212,12.77.01.1001,Wek I
13213,12.77.01.1002,Wek II
13214,12.77.01.1003,Wek III
13215,12.77.01.1004,Wek IV
13216,12.77.01.1005,Tanobato
13217,12.77.01.1006,Tobat
13218,12.77.01.1007,Batang Ayumi Jae
13219,12.77.01.1008,Batang Ayumi Julu
13220,12.77.01.1009,Sadabuan
13221,12.77.01.1010,Panyanggar
13222,12.77.01.1011,Bonan Dolok
13223,12.77.01.1012,Losung Batu.
13224,12.77.01.1013,Timbangan
13225,12.77.01.1014,Bincar
13226,12.77.01.1015,Kantin
13227,12.77.01.1016,Kayu Ombun
13228,12.77.02,Padangsidimpuan Selatan
13229,12.77.02.1001,Wek V
13230,12.77.02.1002,Wek VI
13231,12.77.02.1003,Losung
13232,12.77.02.1004,Sitamiang
13233,12.77.02.1005,Ujung Padang
13234,12.77.02.1006,Aek Tampang
13235,12.77.02.1007,Padang Matinggi
13236,12.77.02.1008,Silandit
13237,12.77.02.1009,Sidangkal
13238,12.77.02.1010,Hanopan
13239,12.77.02.1011,Padang Matinggi Lestari
13240,12.77.02.1012,Sitamiang Baru
13241,12.77.03,Padangsidimpuan Batunadua
13242,12.77.03.1001,Batunadua Jae
13243,12.77.03.1002,Batunadua Julu
13244,12.77.03.2003,Purwodadi
13245,12.77.03.2004,Gunung Hasahatan
13246,12.77.03.2005,Ujunggurap
13247,12.77.03.2006,Aek Tuhul
13248,12.77.03.2007,Baruas
13249,12.77.03.2008,Siloting
13250,12.77.03.2009,Aek Bayur
13251,12.77.03.2010,Pudun Jae
13252,12.77.03.2011,Pudun Julu
13253,12.77.03.2012,Batang Bahal
13254,12.77.03.2013,Aek Najaji
13255,12.77.03.2014,Simirik
13256,12.77.03.2015,Bargottopong
13257,12.77.04,Padangsidimpuan Hutaimbaru
13258,12.77.04.1001,Hutaimbaru
13259,12.77.04.1002,Lubuk Raya
13260,12.77.04.1003,Sabungan Jae
13261,12.77.04.1004,Lembah Lubuk Manik
13262,12.77.04.1005,Palopat Maria
13263,12.77.04.2006,Sabungan Sipabangun
13264,12.77.04.2007,Singali
13265,12.77.04.2008,Huta Padang
13266,12.77.04.2009,Partihaman Saroha
13267,12.77.04.2010,Tinjoman Lama
13268,12.77.05,Padangsidimpuan Tenggara
13269,12.77.05.1001,Sihitang
13270,12.77.05.1002,Pijor Koling
13271,12.77.05.2003,Palopat Pijor Koling
13272,12.77.05.2004,Salambue
13273,12.77.05.2005,Purbatua Pijor Koling
13274,12.77.05.2006,Sigulang
13275,12.77.05.2007,Manunggang Julu
13276,12.77.05.2008,Goti
13277,12.77.05.2009,Manegen
13278,12.77.05.2010,Huta Koje
13279,12.77.05.2011,Hutalimbong
13280,12.77.05.2012,Huta Padang
13281,12.77.05.2013,Perkebunan Pijor Koling
13282,12.77.05.2014,Labuhan Labo
13283,12.77.05.2015,Huta Lombang
13284,12.77.05.2016,Manunggang Jae
13285,12.77.05.2017,Labuhan Rasoki
13286,12.77.05.2018,Tarutung Baru
13287,12.77.06,Padangsidimpuan Angkola Julu
13288,12.77.06.2001,Joring Lombang
13289,12.77.06.2002,Batu Layan
13290,12.77.06.2003,Simasom
13291,12.77.06.2004,Pintu Langit Jae
13292,12.77.06.2005,Mompang
13293,12.77.06.2006,Rimba Soping
13294,12.77.06.2007,Simatohir
13295,12.77.06.2008,Joring Natobang
13296,12.78,KOTA GUNUNGSITOLI
13297,12.78.01,Gunungsitoli
13298,12.78.01.2001,Bawodesolo
13299,12.78.01.2002,Boyo
13300,12.78.01.2003,Dahadano Gawu-Gawu
13301,12.78.01.2004,Dahana Tabaloho
13302,12.78.01.2005,Fadoro Lasara
13303,12.78.01.2006,Hilihao
13304,12.78.01.2007,Hilimbaruzo
13305,12.78.01.2008,Hilina'a
13306,12.78.01.2009,Iraonogeba
13307,12.78.01.2010,Lasara Bahili
13308,12.78.01.2011,Lolowonu Niko'otano
13309,12.78.01.2012,Madula
13310,12.78.01.2013,Madolaoli
13311,12.78.01.2014,Mudik
13312,12.78.01.2015,Miga
13313,12.78.01.2016,Mo'awo
13314,12.78.01.2017,Ombolata Ulu
13315,12.78.01.2018,Onowaembo
13316,12.78.01.2019,Onozitoli Olora
13317,12.78.01.2020,Onozitoli Sifaoroasi
13318,12.78.01.2021,Saewe
13319,12.78.01.2022,Sifalaete Tabaloho
13320,12.78.01.2023,Sifalaete Ulu
13321,12.78.01.2024,Sihare'o II Tabaloho
13322,12.78.01.2025,Simandraolo
13323,12.78.01.2026,Sisarahiligamo
13324,12.78.01.2027,Sisarahili Sisambualahe
13325,12.78.01.2028,Sisobahili Tabaloho
13326,12.78.01.2029,Tuhemberua Ulu
13327,12.78.01.1030,Pasar Gunungsitoli
13328,12.78.01.1031,Saombo
13329,12.78.01.1032,Ilir
13330,12.78.02,Gunungsitoli Selatan
13331,12.78.02.2001,Ononamolo I Lot
13332,12.78.02.2002,Fodo
13333,12.78.02.2003,Faekhu
13334,12.78.02.2004,Lolofaoso Tabaloho
13335,12.78.02.2005,Lolomboli
13336,12.78.02.2006,Mazingo Tabaloho
13337,12.78.02.2007,Onozitoli Tabaloho
13338,12.78.02.2008,Lololakha
13339,12.78.02.2009,Sihare'o I Tabaloho
13340,12.78.02.2010,Ombolata Simenari
13341,12.78.02.2011,Hiligara
13342,12.78.02.2012,Luahalaraga
13343,12.78.02.2013,Sisobahili II Tanose'o
13344,12.78.02.2014,Hiligodu Ombolata
13345,12.78.02.2015,Tetehosi Ombolata
13346,12.78.03,Gunungsitoli Utara
13347,12.78.03.2001,Afia
13348,12.78.03.2002,Lolo'ana'a Lolomoyo
13349,12.78.03.2003,Lasara Sowu
13350,12.78.03.2004,Telukbelukar
13351,12.78.03.2005,Tetehosi Afia
13352,12.78.03.2006,Hambawa
13353,12.78.03.2007,Gawu-Gawu Bo'uso
13354,12.78.03.2008,Olora
13355,12.78.03.2009,Hilimbowo Olora
13356,12.78.03.2010,Hiligodu Ulu
13357,12.78.04,Gunungsitoli Idanoi
13358,12.78.04.2001,Sifalaete
13359,12.78.04.2002,Hilimbawodesolo
13360,12.78.04.2003,Dahana
13361,12.78.04.2004,Bawodesolo
13362,12.78.04.2005,Tuhegeo I
13363,12.78.04.2006,Simanaere
13364,12.78.04.2007,Humene
13365,12.78.04.2008,Siwalubanua II
13366,12.78.04.2009,Helefanikha
13367,12.78.04.2010,Tetehosi I
13368,12.78.04.2011,Fowa
13369,12.78.04.2012,Binaka
13370,12.78.04.2013,Idanotae
13371,12.78.04.2014,Tetehosi II
13372,12.78.04.2015,Lolo'ana'a Idanoi
13373,12.78.04.2016,Siwalubanua I
13374,12.78.04.2017,Hilihambawa
13375,12.78.04.2018,Awa'ai
13376,12.78.04.2019,Lewuoguru Idanoi
13377,12.78.04.2020,Fadoro
13378,12.78.04.2021,Hiliweto Idanoi
13379,12.78.04.2022,Hilimbowo Idanoi
13380,12.78.04.2023,Onowaembo
13381,12.78.04.2024,Ombolata
13382,12.78.04.2025,Samasi
13383,12.78.04.2026,Tuhegeo II
13384,12.78.05,Gunungsitoli Alo'oa
13385,12.78.05.2001,Nazalou Alo'oa
13386,12.78.05.2002,Niko'otano Dao
13387,12.78.05.2003,Iraonolase
13388,12.78.05.2004,Orahili Tanose'o
13389,12.78.05.2005,Tarakhaini
13390,12.78.05.2006,Fadoro Hilimbowo
13391,12.78.05.2007,Fadoro You
13392,12.78.05.2008,Lololawa
13393,12.78.05.2009,Nazalou Lolowua
13394,12.78.06,Gunungsitoli Barat
13395,12.78.06.2001,Tumori
13396,12.78.06.2002,Tumori Balohili
13397,12.78.06.2003,Orahili Tumori
13398,12.78.06.2004,Gada
13399,12.78.06.2005,Lolomoyo Tuhemberua
13400,12.78.06.2006,Sihare'o Siwahili
13401,12.78.06.2007,Hilinakhe
13402,12.78.06.2008,Onozikho
13403,12.78.06.2009,Ononamolo II Lot
13404,13,SUMATERA BARAT
13405,13.01,KAB. PESISIR SELATAN
13406,13.01.01,Pancung Soal
13407,13.01.01.2001,Inderapura
13408,13.01.01.2002,Muaro Sakai Inderapura
13409,13.01.01.2003,Tiga Sepakat Inderapura
13410,13.01.01.2004,Inderapura Barat
13411,13.01.01.2005,Kudo-Kudo Inderapura
13412,13.01.01.2006,Inderapura Selatan
13413,13.01.01.2009,Simpang Lama Inderapura
13414,13.01.01.2010,Tigo Sungai Inderapura
13415,13.01.01.2011,Tluk Amplu Inderapura
13416,13.01.01.2012,Inderapura Tengah
13417,13.01.02,Ranah Pesisir
13418,13.01.02.2001,Pelangai
13419,13.01.02.2002,Sungai Tunu
13420,13.01.02.2003,Sungai Tunu Utara
13421,13.01.02.2004,Sungai Tunu Barat
13422,13.01.02.2005,Nyiur Melambai Pelangai
13423,13.01.02.2006,Sungai Liku Pelangai
13424,13.01.02.2007,Koto VIII Pelangai
13425,13.01.02.2008,Pelangai Gadang
13426,13.01.02.2009,Pelangai Kaciak
13427,13.01.02.2010,Pasia Pelangai
13428,13.01.03,Lengayang
13429,13.01.03.2001,Kambang
13430,13.01.03.2002,Lakitan
13431,13.01.03.2003,Kambang Utara
13432,13.01.03.2004,Kambang Timur
13433,13.01.03.2005,Kambang Barat
13434,13.01.03.2006,Lakitan Utara
13435,13.01.03.2007,Lakitan Selatan
13436,13.01.03.2008,Lakitan Timur
13437,13.01.03.2009,Lakitan Tengah
13438,13.01.04,Batang Kapas
13439,13.01.04.2001,IV Koto Hilie
13440,13.01.04.2002,IV Koto Mudiek
13441,13.01.04.2003,Taluak
13442,13.01.04.2004,Koto Nan Duo IV Koto Hilie
13443,13.01.04.2005,Koto Nan Tigo IV Koto Hilie
13444,13.01.04.2006,Teratak Tempatih IV Koto Mudiek
13445,13.01.04.2007,Tuik IV Koto Mudiek
13446,13.01.04.2008,Sungai Nyalo IV Koto Mudiek
13447,13.01.04.2009,Taluk Tigo Sakato
13448,13.01.05,IV Jurai
13449,13.01.05.2001,Painan
13450,13.01.05.2002,Tambang
13451,13.01.05.2003,Salido
13452,13.01.05.2004,Lumpo
13453,13.01.05.2005,Bunga Pasang Salido
13454,13.01.05.2006,Sago Salido
13455,13.01.05.2007,Salido Sari Bulan
13456,13.01.05.2008,Koto Rawang
13457,13.01.05.2009,Limau Gadang Lumpo
13458,13.01.05.2010,Batu Kunik Lumpo
13459,13.01.05.2011,Taratak Tangah Lumpo
13460,13.01.05.2012,Ampuan Lumpo
13461,13.01.05.2013,Ampang Tareh Lumpo
13462,13.01.05.2014,Balai Sinayan Lumpo
13463,13.01.05.2015,Sungai Gayo Lumpo
13464,13.01.05.2016,Sungai Sariak Lumpo
13465,13.01.05.2017,Bukik Kaciak Lumpo
13466,13.01.05.2018,Gunung Bungkuak Lumpo
13467,13.01.05.2019,Painan Selatan Painan
13468,13.01.05.2020,Painan Timur Painan
13469,13.01.06,Bayang
13470,13.01.06.2005,Koto Berapak
13471,13.01.06.2006,Talaok
13472,13.01.06.2007,Pasar Baru
13473,13.01.06.2008,Gurun Panjang
13474,13.01.06.2009,Api-api Pasar Baru
13475,13.01.06.2010,Tanjung Durian Pasar Baru
13476,13.01.06.2011,Asam Kamba Pasar Baru
13477,13.01.06.2012,Sawah Laweh Pasar Baru
13478,13.01.06.2013,Kapeh Panji Jaya Talaok
13479,13.01.06.2014,Aur Begalung Talaok
13480,13.01.06.2015,Kapelgam Koto Berapak
13481,13.01.06.2016,Koto Baru Koto Berapak
13482,13.01.06.2017,Kubang Koto Berapak
13483,13.01.06.2018,Kapujan Koto Berapak
13484,13.01.06.2019,Gurun Panjang Utara
13485,13.01.06.2020,Gurun Panjang Barat
13486,13.01.06.2021,Gurun Panjang Selatan
13487,13.01.07,Koto XI Tarusan
13488,13.01.07.2001,Siguntur
13489,13.01.07.2002,Sungai Pinang
13490,13.01.07.2003,Duku
13491,13.01.07.2004,Batu Hampa
13492,13.01.07.2005,Nanggalo
13493,13.01.07.2006,Ampang Pulai
13494,13.01.07.2007,Kapuh
13495,13.01.07.2008,Barung-Barung Balantai
13496,13.01.07.2009,Barung-Barung Balantai Selatan
13497,13.01.07.2010,Mandeh
13498,13.01.07.2011,Kapuah Utara
13499,13.01.07.2012,Taratak Sungai Lundang
13500,13.01.07.2013,Siguntur Tua
13501,13.01.07.2014,Kampung Baru Korong Nan Ampek
13502,13.01.07.2015,Duku Utara
13503,13.01.07.2016,Pulau Karam Ampang Pulai
13504,13.01.07.2017,Jinang Kampung Pansur Ampang Pulai
13505,13.01.07.2018,Cerocok Anau Ampang Pulai
13506,13.01.07.2019,Sungai Nyalo Mudiak Aia
13507,13.01.07.2020,Batu Hampar Selatan
13508,13.01.07.2021,Barung-Barung Balantai Timur
13509,13.01.07.2022,Barung-Barung Balantai Tengah
13510,13.01.07.2023,Setara Nanggalo
13511,13.01.08,Sutera
13512,13.01.08.2001,Taratak
13513,13.01.08.2002,Surantih
13514,13.01.08.2003,Amping Parak
13515,13.01.08.2004,Amping Parak Timur
13516,13.01.08.2005,Koto Taratak
13517,13.01.08.2006,Lansano Taratak
13518,13.01.08.2007,Aur Duri Surantih
13519,13.01.08.2008,Rawang Gunung Malelo Surantih
13520,13.01.08.2009,Koto Nan Tigo Selatan Surantih
13521,13.01.08.2010,Koto Nan Tigo Utara Surantih
13522,13.01.08.2011,Ganting Mudiak Selatan Surantih
13523,13.01.08.2012,Ganting Mudiak Utara Surantih
13524,13.01.09,Linggo Sari Baganti
13525,13.01.09.2001,Punggasan
13526,13.01.09.2002,Air Haji
13527,13.01.09.2003,Punggasan Utara
13528,13.01.09.2004,Punggasan Timur
13529,13.01.09.2005,Padang XI Punggasan
13530,13.01.09.2006,Lagan Mudik Punggasan
13531,13.01.09.2007,Lagan Hilir Punggasan
13532,13.01.09.2008,Air Haji Tenggara
13533,13.01.09.2009,Pasar Lama Muara Air Haji
13534,13.01.09.2010,Pasar Bukit Air Haji
13535,13.01.09.2011,Air Haji Barat
13536,13.01.09.2012,Air Haji Tengah
13537,13.01.09.2013,Rantau Simalenang Air Haji
13538,13.01.09.2014,Muara Gadang Air Haji
13539,13.01.09.2015,Sungai Sirah Air Haji
13540,13.01.09.2016,Muara Kandis Punggasan
13541,13.01.10,Lunang
13542,13.01.10.2001,Lunang
13543,13.01.10.2003,Lunang Utara
13544,13.01.10.2004,Lunang Selatan
13545,13.01.10.2005,Lunang Barat
13546,13.01.10.2015,Sindang Lunang
13547,13.01.10.2016,Pondok Parian Lunang
13548,13.01.10.2017,Lunang Tengah
13549,13.01.10.2018,Lunang Satu
13550,13.01.10.2019,Lunang Dua
13551,13.01.10.2020,Lunang Tiga
13552,13.01.11,Basa Ampek Balai Tapan
13553,13.01.11.2001,Tapan
13554,13.01.11.2002,Pasar Tapan
13555,13.01.11.2007,Batang Arah Tapan
13556,13.01.11.2008,Ampang Tulak Tapan
13557,13.01.11.2009,Tanjung Pondok Tapan
13558,13.01.11.2010,Batang Betung Tapan
13559,13.01.11.2016,Bukit Buai Tapan
13560,13.01.11.2017,Riak Danau Tapan
13561,13.01.11.2018,Koto Anau Tapan
13562,13.01.11.2019,Dusun Baru Tapan
13563,13.01.12,IV Nagari Bayang Utara
13564,13.01.12.2001,Puluik-Puluik
13565,13.01.12.2002,Koto Ranah
13566,13.01.12.2003,Muaro Aie
13567,13.01.12.2004,Pancuang Taba
13568,13.01.12.2005,Puluik-Puluik Selatan
13569,13.01.12.2006,Limau Gadang Pancung Taba
13570,13.01.13,Airpura
13571,13.01.13.2001,Inderapura Utara
13572,13.01.13.2002,Muara Inderapura
13573,13.01.13.2003,Damar Lapan Batang Inderapura
13574,13.01.13.2004,Lalang Panjang Inderapura
13575,13.01.13.2005,Palokan Inderapura
13576,13.01.13.2006,Lubuk Betung Inderapura
13577,13.01.13.2007,Tluk Kualo Inderapura
13578,13.01.13.2008,Tanah Bakali Inderapura
13579,13.01.13.2009,Inderapura Timur
13580,13.01.13.2010,Pulau Rajo Inderapura
13581,13.01.14,Ranah Ampek Hulu Tapan
13582,13.01.14.2001,Sungai Gambir Sako Tapan
13583,13.01.14.2002,Limau Purut Tapan
13584,13.01.14.2003,Talang Balarik Tapan
13585,13.01.14.2004,Tebing Tinggi Tapan
13586,13.01.14.2005,Binjai Tapan
13587,13.01.14.2006,Sungai Pinang Tapan
13588,13.01.14.2007,Talang Koto Pulai Tapan
13589,13.01.14.2008,Kampung Tengah Tapan
13590,13.01.14.2009,Kubu Tapan
13591,13.01.14.2010,Simpang Gunung Tapan
13592,13.01.15,Silaut
13593,13.01.15.2001,Silaut
13594,13.01.15.2002,Sungai Sirah
13595,13.01.15.2003,Sungai Sarik
13596,13.01.15.2004,Sungai Pulai
13597,13.01.15.2005,Pasir Binjai
13598,13.01.15.2006,Talang Binjai
13599,13.01.15.2007,Durian Seribu
13600,13.01.15.2008,Lubuk Bunta
13601,13.01.15.2009,Air Hitam
13602,13.01.15.2010,Sambungo
13603,13.02,KAB. SOLOK
13604,13.02.02.1036,Ikua Koto Dibalai
13605,13.02.03,Pantai Cermin
